title|isbn|total_pages|amount|publishing_year|publisher_id|price|annotation|cover_path|library_location
Война и мир|978-5-4472-3750-9|2248|5|2014|6|1897|«Война и мир» - роман-эпопея русского писателя, публициста, просветителя и религиозного мыслителя Льва Николаевича Толстого (1828-1910). Создавался в 1863-1869 годы. Отрывок из романа под названием «1805 год» впервые был опубликован в 1865 году в «Русском вестнике». В 1868 году в свет вышли три части романа, за которыми вскоре последовали еще две. В первом издании «Войны и мира» был длинный ряд чисто теоретических страниц, мешавших целостности художественного впечатления; в более поздних изданиях эти рассуждения были обособлены в особую часть.\nИсторико-философская мысль Толстого большей частью проникает в роман не в виде рассуждений, а в гениально схваченных подробностях и цельных картинах, истинный смысл которых нетрудно понять всякому вдумчивому читателю. Писатель старается в любом событии и явлении запечатлеть стихийное, бессознательное начало человеческой жизни. И вся идея романа сводится к тому, что успех и неуспех в исторической жизни зависит не от воли и талантов отдельных людей, а от того, насколько они отражают в своей деятельности стихийный ход исторических событий. Признанный литературоведами всего мира величайшим эпическим произведением новой европейской литературы, «Война и мир» изобразительно охватывает все социальные слои русского общества начала XIX века и по праву считается энциклопедией психологии русского народа... В 1908 году Лев Толстой записал в своем дневнике: «Люди любят меня за те пустяки - Война и мир и т.п., которые им кажутся очень важными».\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в третьем шкафу
Горе от ума|978-5-4472-3645-8|177|6|2014|6|555|«Горе от ума» - комедия в стихах русского дипломата, поэта, драматурга, композитора Александра Сергеевича Грибоедова (1795-1829). Написана в 1822-1824 годы. Отрывки I и III актов комедии с большими цензурными сокращениями были напечатаны в 1825 году, но разрешение на её постановку получить не удалось. Первая полная постановка пьесы состоялась 26 января 1831 года в Александринском театре в Санкт-Петербурге. Полностью текст комедии был опубликован лишь в 1862 году.\nПьеса сочетает в себе элементы классицизма (соблюдены только 2 классических единства - места и времени; третье единство - действия - отсутствует, в произведении 2 сюжетные линии: любовь Чацкого и противостояние Чацкого и московского общества) и новых для начала XIX века направлений романтизма и реализма. Это блестяще рифмованная сатира на аристократическое московское общество того времени, написанная в афористическом поэтическом стиле. Основной лейтмотив произведения - протест свободной личности «против гнусной российской действительности».\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в третьем шкафу
Евгений Онегин|978-5-4472-3723-3|223|7|2014|6|1483|«Евгений Онегин» - роман в стихах великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837). Написан в 1823-1831 годы. Выходил отдельными выпусками, содержащими каждый одну главу; отрывки из романа печатались также в различных журналах и альманахах. Первая глава произведения была опубликована в 1825 году. В 1833 году вышло первое полное издание всего романа в одном томе. Второе издание романа в миниатюрном формате в типографии И. Глазунова в январе 1837 года стало последним прижизненным изданием А.С. Пушкина.\nРоман охватывает события с 1819 по 1825 год: от заграничных походов русской армии после разгрома Наполеона до восстания декабристов. Сюжет романа прост, в центре повествования - история любви Евгения Онегина и Татьяны Лариной. «Евгений Онегин» стал поистине энциклопедией русской жизни времен царствования Александра I, так как широта охваченных в нем тем, детализация быта, многосюжетность композиции, глубина описания характеров персонажей и сейчас достоверно демонстрируют читателям особенности жизни аристократии той эпохи. Одна из главных особенностей романа, отмеченная самим автором - «разомкнутость» повествования во времени: каждая глава могла бы стать последней, но может иметь и продолжение, т.е. каждая глава фактически является самостоятельным и цельным произведением.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в третьем шкафу
Беседа пьяного с трезвым чертом|978-5-4472-4424-8|7|9|2015|6|619|«Беседа пьяного с трезвым чертом» - рассказ русского писателя, драматурга Антона Павловича Чехова (1860-1904). Написан и впервые опубликован в 1886 году за подписью «Человек без селезенки».\nРассказ «Беседа пьяного с трезвым чертом» - это миниатюра, описывающая встречу изрядно выпившего отставного коллежского секретаря Лахматова с явившегося к нему чертом. Непрошенный гость оказался существом словоохотливым, к тому же испытывавшим те же ущемления и неудобства по службе, что и хозяин застолья.\n|../TableData/BooksPhoto/default_book_cover.png|В первом зале,в первом шкафу
Герой нашего времени|978-5-4472-3688-5|335|14|2014|6|1265|«Герой нашего времени» - роман русского поэта, прозаика, драматурга, художника Михаила Юрьевича Лермонтова (1814-1841). Написан в 1838-1840 годы. Впервые издан в 1840 году в Санкт-Петербурге, в типографии Ильи Глазунова и Кº.\nРоман состоит из нескольких частей, хронологический порядок которых нарушен. Такое расположение служит особым художественным задачам: в частности, сначала Печорин показан глазами Максима Максимыча, а только затем читатель узнает его от первого лица, по записям из дневника. Вобрав художественный опыт своих предшественников, намного усложнив и обогатив традиции, накопленные в европейской литературе, Лермонтов создал свое произведение на главных путях развития европейского реалистического романа. В романе органически сочетаются социально-психологическая и нравственно-философская проблематика, острая сюжетность и беспощадный самоанализ героя, очерковость отдельных описаний и новеллистическая стремительность поворотов в развитии событий, философские размышления и необычные эксперименты героя; его любовные, светские и иные похождения оборачиваются трагедией несостоявшейся в полной мере судьбы незаурядного человека.\n|../TableData/BooksPhoto/default_book_cover.png|В пятом зале,в четвёртом шкафу
Чудесный доктор|978-5-4472-3687-8|16|6|2014|6|1208|«Чудесный доктор» - рассказ русского писателя Александра Ивановича Куприна (1870-1938). Впервые напечатан в 1897 году в газете «Киевское слово».\n«Чудесный доктор» - трогательный святочный рассказ Куприна. Двое мальчиков из обнищавшей семьи Мерцаловых возвращаются с нарядных, готовящихся к празднику улиц домой в подвал, где их ждет мать, больная сестра и голодный младенец. Глава попавшего в беду семейства, не в силах помочь своей семье, в праздничный вечер сбегает из дома и случайно встречает врача, который спасет больного ребенка и все семейство, дает деньги и вселяет бодрость в измученных людей. Это сродни чуду, что подчеркнуто в названии рассказа. После появления этого необыкновенного человека нищая, неудачная жизнь семьи Мерцаловых входит в благополучное русло: дети выздоравливают, отец находит место, мальчиков устраивают в гимназию.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,во втором шкафу
Зеленая лампа|978-5-4472-4244-2|10|9|2015|6|765|«Зеленая лампа» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован в 1930 году в журнале «Красная новь».\nЭто история о том, как молодой ирландский бродяга Джон Ив, умирающий на лондонских улицах, благодаря жестокой шутке миллионера Стильтона становится достойным человеком. Богач, забавы ради, предложил Иву за определенную плату ежедневно зажигать зеленую лампу в окне одного дома в течение неопределенного времени. Он считает, что сделал «игрушку из живого человека» - это его любимое развлечение. Однако Ив верно воспользовался шансом, подаренным ему судьбой. «Зеленая лампа, озаряющая темноту ночи» превращается у Грина в символ надежды на лучшее, в символ желания жить, которое помогает человеку исполнить самую заветную и, казалось бы, самую несбыточную мечту.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,во втором шкафу
Идиот|978-5-4472-3657-1|1059|5|2014|6|975|«Идиот» - роман великого русского писателя, мыслителя, философа и публициста Федора Михайловича Достоевского (1821-1881). Был начат в 1867 году в Женеве, закончен в 1869 году во Флоренции. Публиковался частями в 1868-1869 годы в журнале «Русский вестник».\nГлавная идея романа - изобразить положительно прекрасного человека, обладающего нравственной чистотой, благородством, деликатностью, способностью сострадать чужой боли до полного самоотречения. «Прекрасное есть идеал, а идеал - ни наш, ни цивилизованной Европы - еще далеко не выработался», - писал о своей задаче Достоевский. Разрушение социального уклада в России конца 60-х годов XIX века писатель доносит через психологические портреты действующих лиц, через крах семейных и межчеловеческих взаимоотношений, связанных с проблемами власти денег над людьми, безбожия и разгула эгоистических страстей.\n|../TableData/BooksPhoto/default_book_cover.png|В четвёртом зале,в первом шкафу
Преступление и наказание|978-5-4472-3662-5|971|6|2014|6|889|«Преступление и наказание» - роман великого русского писателя, мыслителя, философа и публициста Федора Михайловича Достоевского (1821-1881). Написан в 1865-1866 годы. Впервые напечатан по частям в январе-декабре 1866 года в журнале «Русский вестник». Вскоре после окончания журнальной публикации романа Достоевский печатает его отдельным изданием, для которого сделал в тексте значительные сокращения и изменения: три части журнальной редакции были преобразованы в шесть, частично было изменено и деление на главы.\n«Преступление и наказание» открывает новый, высший этап творчества Достоевского. Здесь он впервые выступает как создатель принципиально нового романа в мировой литературе, который был назван «полифоническим». В основе драматического конфликта произведения - столкновение характеров, воплощающих разные идейные принципы, борьба теории с жизнью в душе каждого одержимого человека. Изображение общественной ломки, связанной с развитием буржуазных отношений, Достоевский соединяет с исследованием политических взглядов и философских теорий, которые влияют на это развитие. Поэтому роман «Преступление и наказание» называют социально-философским, психологическим и идеологическим произведением.\n|../TableData/BooksPhoto/default_book_cover.png|В третьем зале,в четвёртом шкафу
Ревизор|978-5-4472-3633-5|122|7|2014|6|1409|«Ревизор» - комедия в пяти действиях русского прозаика, драматурга, поэта, критика, публициста Николая Васильевича Гоголя (1809-1852).\nРаботу над пьесой Гоголь начал осенью 1835 года. Традиционно считается, что сюжет был подсказан ему А.С. Пушкиным. Премьера «Ревизора» состоялась 19 апреля 1836 года на сцене Александринского театра в Петербурге. Присутствовал сам император, Николай I. Гоголь был удручен увиденным: замысел комедии, в которой, вопреки драматургическим канонам того времени, фактически не было положительного героя, не был понят ни актерами, ни зрителями. Из глубокого смысла, вложенного в пьесу, не было ничего извлечено. Комедию приняли за обыкновенный водевиль... «В Ревизоре» я решился собрать в одну кучу всё дурное в России, какое я тогда знал, все несправедливости, какие делаются в тех местах и в тех случаях, где больше всего требуется от человека справедливости, и за одним разом посмеяться над всем», - писал Гоголь о своей пьесе.\n|../TableData/BooksPhoto/default_book_cover.png|Во втором зале,в четвёртом шкафу
