title|writing_year|description|ebook_path
Проза||Дмитрий Веневитинов был увлечен идеями Шеллинга о всеобщей связи и единства природы, о насущной необходимости познания и самопознания. В той или иной степени эти идеи отразились в ключевых прозаических произведениях молодого автора: философско-драматическом диалоге «Анаксагор. Беседы Платона», очерке «Несколько мыслей в план журнала», неоконченном романе «Владимир Паренский». Веневитинов был автором нескольких литературно-программных и критических статей: одна из них - «Разбор статьи о Евгении Онегине» (1825) - стала первым печатным произведением писателя.\n|../TableData/BooksEpub/Проза_1.epub
Женитьба|1851|Эту пьесу Гоголя называют одной из первых русских «бытовых комедий нравов», посвященных казусам жизни простых обывателей. В «Женитьбе» есть все, что составляет эту жизнь: смешное и грустное, высокое и низкое. Сюжет пьесы прост и незатейлив - мелкий чиновник решает жениться и обращается к свахе... Гоголь в легком и живом стиле живописует подоплеку события и сопутствующую ему интригу. В подтексте пьесы ясно ощущается основная гоголевская тема - ощущение глобальной пустоты и бессмыслицы, измельчания и омертвения души человека, которые удивительным образом сочетаются с неизменной верой писателя в силу слова художника, во вселенскую справедливость и божественную природу человека. Пьеса написана в 1833-1835 годы, опубликована в 1842 году.\n|../TableData/BooksEpub/Женитьба_1.epub
Дубровский|1833|Александр Пушкин работал над этим произведением с 1832 по 1833 год. Однако оставил свой замысел незавершенным и стилистически необработанным. При жизни автора текст романа не публиковался. Название «Дубровский» тексту дали издатели при первой публикации романа в 1842 году. Действие написанных частей происходит в 20-е годы XIX века, развивается в течение полутора лет и фокусируется на истории романтической любви Владимира Дубровского и Марии Троекуровой - отпрысков двух враждующих помещичьих семейств. Причем молодой Дубровский предстает в образе «благородного разбойника», наводящего ужас на местных помещиков, но не трогающего, однако, имения Троекурова. Сюжетная линия обрывается на том, что Дубровский распускает свой отряд и скрывается от правосудия за границей.\n|../TableData/BooksEpub/Дубровский_1.epub
Сорока-воровка|1846|В основу сюжета «Сороки-воровки» положен рассказ М.С. Щепкина о печальной истории крепостной актрисы из театра развратного самодура-крепостника в Орле. Рассказ Щепкина, который в повести фигурирует под именем известного художника, Герцен поднял на уровень большого социального обобщения. Острый вопрос о правах и положении женщины в повести освещен в применении к трагической судьбе крепостной женщины и талантливой актрисы. «Сорока-воровка» выделяется наибольшей резкостью и смелостью в раскрытии противоречия между «крещеной собственностью» и ее владельцами. Впервые повесть опубликована в журнале «Современник» в 1848 году.\n|../TableData/BooksEpub/Сорокаворовка_1.epub
Дьявол Оранжевых Вод|1913|Историю о «дьяволе Оранжевых Вод» больному юноше Ингеру рассказывает бывший моряк, капитан, искатель приключений и авантюрист Бангок. В молодости, на борту парохода, идущего из Австралии в Китай, Бангок повстречал странного человека с пронзительным голосом, представившегося политическим эмигрантом из России. Сойдя на берег в Порт-Меле, он вновь встретил незнакомца. Тот стал попутчиком в последующем путешествии Бангока, а в конце пути обратился к герою с неожиданной и страшной просьбой.Рассказ написан и впервые опубликован в 1913 году в журнале «Летучий альманах».\n|../TableData/BooksEpub/Дьявол_Оранжевых_Вод_1.epub
Очарованный странник|1873|Замысел повести, имевшей первоначальное название «Черноземный Телемак», родился в путешествии по Ладожскому озеру на остров Валаам, где жили монахи. Произведение делится на 20 глав, повествующих о жизни героя и представляющих собой отдельные, более или менее законченные истории. Логика повествования определяется не хронологией событий, а воспоминаниями и ассоциациями рассказчика Ивана Флягина. Формально повесть обнаруживает сходство с каноном жития: рассказ о детстве героя, последовательное жизнеописание, борьба с искушениями. Повествовательная организация представляет собой сказ - воспроизведение устной речи, имитацию импровизационного рассказа.\nПовесть впервые опубликована в 1873 году в газете «Русский мир».\n|../TableData/BooksEpub/Очарованный_странник_1.epub
На облачном берегу|1924|Герои рассказа «На облачном берегу» - Август Мистрей и его жена Тави - стали жертвой мошенника, забравшего все их сбережения. Единственное, что у них осталось - жемчужное ожерелье Тави, которое для супругов больше чем драгоценность. Вместе с прибившимся к ним слепым стариком Нэдом Сваном они едут в имение своего дальнего родственника - грубого и недалекого дельца Ионсона.Рассказ написан и впервые опубликован в 1924 году в журнале «Красная нива».\n|../TableData/BooksEpub/На_облачном_берегу_1.epub
Гамбринус|1906|Основной сюжет рассказа разворачивается в пивной «Гамбринус» на Дерибасовской в Одессе. Яркие и самобытные образы завсегдатаев питейного заведения и центральной фигуры повествования - талантливого музыканта-самородка Саши-скрипача, пережившего войну и черносотенные погромы, наполняют неподражаемым шармом атмосферу того времени. Идея сюжета затрагивает вечную тему бессмертия и торжества искусства над проявлением жестокости, подлости и безнравственности. Слова героя о том, что человека можно изувечить, а настоящее искусство все выдержит и победит, звучат как апофеоз стойкости и мужества.Впервые рассказ напечатан в 1907 году в журнале «Современный мир».\n|../TableData/BooksEpub/Гамбринус_1.epub
Страна негодяев|1924|Замысел «Страны негодяев» менялся трижды: первоначально Сергей Есенин хотел отразить в поэме революцию и гражданскую войну, затем сосредоточил внимание на событиях гражданской войны, а в окончательном тексте совместил гражданскую войну с введением НЭПа. Действие происходит на Урале в 1919 году. Главный герой поэмы, в котором угадывается образ Нестора Махно - бандит Номах, нигилист, романтический бунтарь-анархист, ненавидящий «всех, кто жиреет на Марксе». Он пошел когда-то за революцией, надеясь, что она принесет освобождение всему роду человеческому, и эта наивная крестьянская мечта близка и понятна автору. Номах высказывает в поэме заветные мысли Есенина: о любви к буре и стихии, о ненависти к рутине искусственной жизни, которую навязали России комиссары. Он хочет переделать мир, но, обнаружив, что быстро сделать это не получится, теряет интерес и разочаровывается. Номаху противопоставлены комиссар прииска Рассветов, который убежден, что любые обманы хороши, если бедные обманывают богатых, и еврей-русофоб, комиссар охраны железнодорожной линии Чекистов, ненавидящий русскую отсталость. По сути, чекисты, которые ловят бандита, устраивающего набеги на поезда, ничем не лучше его. Возможно поэтому Номаху всегда удается благополучно уйти от своих преследователей. Поэма написана в 1922-1923 годы. При жизни автора не издавалась, в течение десятилетий произведение не было известно широкому кругу читателей и лишь упоминалось в предисловиях сборников и биографических статьях.\n|../TableData/BooksEpub/Страна_негодяев_1.epub
Письмо от матери|1924|Стихотворение «Письмо от матери» - одно из самых пронзительных лирических произведений Сергея Есенина последних лет жизни. Лирический герой поэта пытается успокоить, обнадежить старушку-мать и, вновь обращаясь к мотиву своей близкой смерти, обещает скорую встречу с ней. Несмотря на разочарование в жизни, «тоску мятежную» и «тягостную бредь» души, он помнит и любит женщину, подарившую ему жизнь. Стихотворение имеет кольцевую композицию: рефреном звучащие строфы начала и конца монолога («Что ты часто ходишь на дорогу в старомодном ветхом шушуне» и «Не ходи так часто на дорогу в старомодном ветхом шушуне») придают ему логическую завершенность лирического послания и усиливают смысловые акценты.\n|../TableData/BooksEpub/Письмо_от_матери_1.epub
