isbn|title|genre|author|path|pages|description|publisher|annotation|writing_year|publishing_year|cover_path
978-5-4472-4259-6|Проза|['Очерк', 'Роман']|Веневитинов Дмитрий|../TableData/BooksEpub/Проза_1.epub|147|Дмитрий Веневитинов был увлечен идеями Шеллинга о всеобщей связи и единства природы, о насущной необходимости познания и самопознания. В той или иной степени эти идеи отразились в ключевых прозаических произведениях молодого автора: философско-драматическом диалоге «Анаксагор. Беседы Платона», очерке «Несколько мыслей в план журнала», неоконченном романе «Владимир Паренский». Веневитинов был автором нескольких литературно-программных и критических статей: одна из них - «Разбор статьи о Евгении Онегине» (1825) - стала первым печатным произведением писателя.\n|ДА!Медиа|Дмитрий Владимирович Веневитинов (1805-1827) - русский поэт романтического направления, прозаик, переводчик, философ, художник. Соучредитель совместно с князем В.Ф. Одоевским тайного философского «Общества любомудрия», участники которого занимались изучением немецкой идеалистической философии - трудов Ф. Шеллинга, И. Канта, И. Фихте, Л. Окена, Ф. Шлегеля и других. Веневитинов принимал деятельное участие в издании журнала «Московский вестник».\nВеневитинов был увлечен идеями Шеллинга о всеобщей связи и единства природы, о насущной необходимости познания и самопознания. В той или иной степени эти идеи отразились в ключевых прозаических произведениях молодого автора: философско-драматическом диалоге «Анаксагор. Беседы Платона», очерке «Несколько мыслей в план журнала», неоконченном романе «Владимир Паренский». Веневитинов был автором нескольких литературно-программных и критических статей: одна из них - «Разбор статьи о Евгении Онегине» (1825) - стала первым печатным произведением писателя.\n||2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3625-0|Женитьба|['Пьеса']|Гоголь Николай|../TableData/BooksEpub/Женитьба_1.epub|83|Эту пьесу Гоголя называют одной из первых русских «бытовых комедий нравов», посвященных казусам жизни простых обывателей. В «Женитьбе» есть все, что составляет эту жизнь: смешное и грустное, высокое и низкое. Сюжет пьесы прост и незатейлив - мелкий чиновник решает жениться и обращается к свахе... Гоголь в легком и живом стиле живописует подоплеку события и сопутствующую ему интригу. В подтексте пьесы ясно ощущается основная гоголевская тема - ощущение глобальной пустоты и бессмыслицы, измельчания и омертвения души человека, которые удивительным образом сочетаются с неизменной верой писателя в силу слова художника, во вселенскую справедливость и божественную природу человека. Пьеса написана в 1833-1835 годы, опубликована в 1842 году.\n|ДА!Медиа|«Женитьба» или «Совершенно невероятное событие в двух действиях» - пьеса русского прозаика, драматурга, поэта, критика, публициста Николая Васильевича Гоголя (1809-1852). Написана в 1833-1835 годы, опубликована в 1842 году.\nЭту пьесу Гоголя называют одной из первых русских «бытовых комедий нравов», посвященных казусам жизни простых обывателей. В «Женитьбе» есть все, что составляет эту жизнь: смешное и грустное, высокое и низкое. Сюжет пьесы прост и незатейлив - мелкий чиновник решает жениться и обращается к свахе... Гоголь в легком и живом стиле живописует подоплеку события и сопутствующую ему интригу. В подтексте пьесы ясно ощущается основная гоголевская тема - ощущение глобальной пустоты и бессмыслицы, измельчания и омертвения души человека, которые удивительным образом сочетаются с неизменной верой писателя в силу слова художника, во вселенскую справедливость и божественную природу человека.\n||2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3722-6|Дубровский|['Роман']|Пушкин Александр|../TableData/BooksEpub/Дубровский_1.epub|107|Александр Пушкин работал над этим произведением с 1832 по 1833 год. Однако оставил свой замысел незавершенным и стилистически необработанным. При жизни автора текст романа не публиковался. Название «Дубровский» тексту дали издатели при первой публикации романа в 1842 году. Действие написанных частей происходит в 20-е годы XIX века, развивается в течение полутора лет и фокусируется на истории романтической любви Владимира Дубровского и Марии Троекуровой - отпрысков двух враждующих помещичьих семейств. Причем молодой Дубровский предстает в образе «благородного разбойника», наводящего ужас на местных помещиков, но не трогающего, однако, имения Троекурова. Сюжетная линия обрывается на том, что Дубровский распускает свой отряд и скрывается от правосудия за границей.\n|ДА!Медиа|«Дубровский» - неоконченный роман великого русского поэта, драматурга, прозаика, создателя современного русского литературного языка Александра Сергеевича Пушкина (1799-1837).\nПушкин работал над этим произведением с 1832 по 1833 год. Однако оставил свой замысел незавершенным и стилистически необработанным. При жизни автора текст романа не публиковался. Название «Дубровский» тексту дали издатели при первой публикации романа в 1842 году. Действие написанных частей происходит в 20-е годы XIX века, развивается в течение полутора лет и фокусируется на истории романтической любви Владимира Дубровского и Марии Троекуровой - отпрысков двух враждующих помещичьих семейств. Причем молодой Дубровский предстает в образе «благородного разбойника», наводящего ужас на местных помещиков, но не трогающего, однако, имения Троекурова. Сюжетная линия обрывается на том, что Дубровский распускает свой отряд и скрывается от правосудия за границей.\n|1833|2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3621-2|Сорока-воровка|['Повесть']|Герцен Александр|../TableData/BooksEpub/Сорокаворовка_1.epub|34|В основу сюжета «Сороки-воровки» положен рассказ М.С. Щепкина о печальной истории крепостной актрисы из театра развратного самодура-крепостника в Орле. Рассказ Щепкина, который в повести фигурирует под именем известного художника, Герцен поднял на уровень большого социального обобщения. Острый вопрос о правах и положении женщины в повести освещен в применении к трагической судьбе крепостной женщины и талантливой актрисы. «Сорока-воровка» выделяется наибольшей резкостью и смелостью в раскрытии противоречия между «крещеной собственностью» и ее владельцами. Впервые повесть опубликована в журнале «Современник» в 1848 году.\n|ДА!Медиа|«Сорока-воровка» - повесть русского публициста, писателя и философа Александра Ивановича Герцена (1812-1870). Впервые опубликована в журнале «Современник» в 1848 году.\nВ основу сюжета «Сороки-воровки» положен рассказ М.С. Щепкина о печальной истории крепостной актрисы из театра развратного самодура-крепостника в Орле. Рассказ Щепкина, который в повести фигурирует под именем известного художника, Герцен поднял на уровень большого социального обобщения. Острый вопрос о правах и положении женщины в повести освещен в применении к трагической судьбе крепостной женщины и талантливой актрисы. «Сорока-воровка» выделяется наибольшей резкостью и смелостью в раскрытии противоречия между «крещеной собственностью» и ее владельцами.\n|1846|2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4238-1|Дьявол Оранжевых Вод|['Рассказ']|Грин Александр|../TableData/BooksEpub/Дьявол_Оранжевых_Вод_1.epub|33|Историю о «дьяволе Оранжевых Вод» больному юноше Ингеру рассказывает бывший моряк, капитан, искатель приключений и авантюрист Бангок. В молодости, на борту парохода, идущего из Австралии в Китай, Бангок повстречал странного человека с пронзительным голосом, представившегося политическим эмигрантом из России. Сойдя на берег в Порт-Меле, он вновь встретил незнакомца. Тот стал попутчиком в последующем путешествии Бангока, а в конце пути обратился к герою с неожиданной и страшной просьбой.Рассказ написан и впервые опубликован в 1913 году в журнале «Летучий альманах».\n|ДА!Медиа|«Дьявол оранжевых вод» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован в 1913 году в журнале «Летучий альманах».\nИсторию о «дьяволе Оранжевых Вод» больному юноше Ингеру рассказывает бывший моряк, капитан, искатель приключений и авантюрист Бангок. В молодости, на борту парохода, идущего из Австралии в Китай, Бангок повстречал странного человека с пронзительным голосом, представившегося политическим эмигрантом из России. Сойдя на берег в Порт-Меле, он вновь встретил незнакомца. Тот стал попутчиком в последующем путешествии Бангока, а в конце пути обратился к герою с неожиданной и страшной просьбой.\n|1913|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3694-6|Очарованный странник|['Повесть']|Лесков Николай|../TableData/BooksEpub/Очарованный_странник_1.epub|191|Замысел повести, имевшей первоначальное название «Черноземный Телемак», родился в путешествии по Ладожскому озеру на остров Валаам, где жили монахи. Произведение делится на 20 глав, повествующих о жизни героя и представляющих собой отдельные, более или менее законченные истории. Логика повествования определяется не хронологией событий, а воспоминаниями и ассоциациями рассказчика Ивана Флягина. Формально повесть обнаруживает сходство с каноном жития: рассказ о детстве героя, последовательное жизнеописание, борьба с искушениями. Повествовательная организация представляет собой сказ - воспроизведение устной речи, имитацию импровизационного рассказа.\nПовесть впервые опубликована в 1873 году в газете «Русский мир».\n|ДА!Медиа|«Очарованный странник» - повесть русского писателя Николая Семеновича Лескова (1831-1895). Написана в 1872-1873 годы. Впервые опубликована в 1873 году в газете «Русский мир» под заглавием «Очарованный странник, его жизнь, опыты, мнения и приключения».\nЗамысел повести, имевшей первоначальное название «Ченоземный Телемак», родился в путешествии по Ладожскому озеру на остров Валаам, где жили монахи. Произведение делится на 20 глав, повествующих о жизни героя и представляющих собой отдельные, более или менее законченные истории. Логика повествования определяется не хронологией событий, а воспоминаниями и ассоциациями рассказчика Ивана Флягина. Формально повесть обнаруживает сходство с каноном жития: рассказ о детстве героя, последовательное жизнеописание, борьба с искушениями. Повествовательная организация повести представляет собой сказ - воспроизведение устной речи, имитацию импровизационного рассказа.\n|1873|2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4264-0|На облачном берегу|['Рассказ']|Грин Александр|../TableData/BooksEpub/На_облачном_берегу_1.epub|26|Герои рассказа «На облачном берегу» - Август Мистрей и его жена Тави - стали жертвой мошенника, забравшего все их сбережения. Единственное, что у них осталось - жемчужное ожерелье Тави, которое для супругов больше чем драгоценность. Вместе с прибившимся к ним слепым стариком Нэдом Сваном они едут в имение своего дальнего родственника - грубого и недалекого дельца Ионсона.Рассказ написан и впервые опубликован в 1924 году в журнале «Красная нива».\n|ДА!Медиа|«На облачном берегу» - рассказ русского писателя, прозаика, поэта, представителя неоромантической школы Александра Грина (Александр Степанович Гриневский) (1880-1932). Написан и впервые опубликован в 1924 году в журнале «Красная нива».\nГерои рассказа «На облачном берегу» - Август Мистрей и его жена Тави - стали жертвой мошенника, забравшего все их сбережения. Единственное, что у них осталось - жемчужное ожерелье Тави, которое для супругов больше чем драгоценность. Вместе с прибившимся к ним слепым стариком Нэдом Сваном они едут в именье своего дальнего родственника - грубого и недалекого дельца Ионсона.\n|1924|2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-3680-9|Гамбринус|['Рассказ']|Куприн Александр|../TableData/BooksEpub/Гамбринус_1.epub|58|Основной сюжет рассказа разворачивается в пивной «Гамбринус» на Дерибасовской в Одессе. Яркие и самобытные образы завсегдатаев питейного заведения и центральной фигуры повествования - талантливого музыканта-самородка Саши-скрипача, пережившего войну и черносотенные погромы, наполняют неподражаемым шармом атмосферу того времени. Идея сюжета затрагивает вечную тему бессмертия и торжества искусства над проявлением жестокости, подлости и безнравственности. Слова героя о том, что человека можно изувечить, а настоящее искусство все выдержит и победит, звучат как апофеоз стойкости и мужества.Впервые рассказ напечатан в 1907 году в журнале «Современный мир».\n|ДА!Медиа|«Гамбринус» - рассказ русского писателя Александра Ивановича Куприна (1870-1938). Впервые напечатан в 1907 году в журнале «Современный мир».\nОсновной сюжет рассказа разворачивается в пивной «Гамбринус» на Дерибасовской в Одессе. Яркие и самобытные образы завсегдатаев питейного заведения и центральной фигуры повествования - талантливого музыканта-самородка Саши-скрипача, пережившего войну и черносотенные погромы, наполняют неподражаемым шармом атмосферу того времени. Идея сюжета произведения затрагивает вечную тему бессмертия и торжества искусства над проявлением жестокости, подлости и безнравственности. Слова героя о том, что человека можно изувечить, а настоящее искусство все выдержит и победит, звучат как апофеоз стойкости и мужества.\n|1906|2014|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4363-0|Страна негодяев|['Поэма']|Есенин Сергей|../TableData/BooksEpub/Страна_негодяев_1.epub|55|Замысел «Страны негодяев» менялся трижды: первоначально Сергей Есенин хотел отразить в поэме революцию и гражданскую войну, затем сосредоточил внимание на событиях гражданской войны, а в окончательном тексте совместил гражданскую войну с введением НЭПа. Действие происходит на Урале в 1919 году. Главный герой поэмы, в котором угадывается образ Нестора Махно - бандит Номах, нигилист, романтический бунтарь-анархист, ненавидящий «всех, кто жиреет на Марксе». Он пошел когда-то за революцией, надеясь, что она принесет освобождение всему роду человеческому, и эта наивная крестьянская мечта близка и понятна автору. Номах высказывает в поэме заветные мысли Есенина: о любви к буре и стихии, о ненависти к рутине искусственной жизни, которую навязали России комиссары. Он хочет переделать мир, но, обнаружив, что быстро сделать это не получится, теряет интерес и разочаровывается. Номаху противопоставлены комиссар прииска Рассветов, который убежден, что любые обманы хороши, если бедные обманывают богатых, и еврей-русофоб, комиссар охраны железнодорожной линии Чекистов, ненавидящий русскую отсталость. По сути, чекисты, которые ловят бандита, устраивающего набеги на поезда, ничем не лучше его. Возможно поэтому Номаху всегда удается благополучно уйти от своих преследователей. Поэма написана в 1922-1923 годы. При жизни автора не издавалась, в течение десятилетий произведение не было известно широкому кругу читателей и лишь упоминалось в предисловиях сборников и биографических статьях.\n|ДА!Медиа|«Страна негодяев» - драматическая поэма русского поэта, представителя школ «новокрестьянской поэзии» и «русского имажинизма» Сергея Александровича Есенина (1895-1925). Написана в 1922-1923 годы. При жизни автора не издавалась, в течение десятилетий произведение не было известно широкому кругу читателей и лишь упоминалось в предисловиях сборников и биографических статьях.\nЗамысел «Страны негодяев» менялся трижды: первоначально Есенин хотел отразить в поэме революцию и гражданскую войну, затем сосредоточил внимание на событиях гражданской войны и в окончательном тексте совместил гражданскую войну с введением НЭПа. Действие происходит на Урале в 1919 году. Главный герой поэмы, в котором угадывается образ Нестора Махно - бандит Номах, нигилист, романтический бунтарь-анархист, ненавидящий «всех, кто жиреет на Марксе». Он пошел когда-то за революцией, надеясь, что она принесет освобождение всему роду человеческому, и эта наивная крестьянская мечта близка и понятна автору. Номах высказывает в поэме заветные мысли Есенина: о любви к буре и стихии, о ненависти к рутине искусственной жизни, которую навязали России комиссары. Он хочет переделать мир, но, обнаружив, что быстро сделать это не получится, теряет интерес и разочаровывается. Номаху противопоставлены комиссар прииска Рассветов, который убежден, что любые обманы хороши, если бедные обманывают богатых, и еврей-русофоб, комиссар охраны железнодорожной линии Чекистов, ненавидящий русскую отсталость. По сути, чекисты, которые ловят бандита, устраивающего набеги на поезда, ничем не лучше его. Возможно поэтому Номаху всегда удается благополучно уйти от своих преследователей.\n||2015|../TableData/BooksPhoto/default_book_cover.png
978-5-4472-4351-7|Письмо от матери|['Поэзия']|Есенин Сергей|../TableData/BooksEpub/Письмо_от_матери_1.epub|7|Стихотворение «Письмо от матери» - одно из самых пронзительных лирических произведений Сергея Есенина последних лет жизни. Лирический герой поэта пытается успокоить, обнадежить старушку-мать и, вновь обращаясь к мотиву своей близкой смерти, обещает скорую встречу с ней. Несмотря на разочарование в жизни, «тоску мятежную» и «тягостную бредь» души, он помнит и любит женщину, подарившую ему жизнь. Стихотворение имеет кольцевую композицию: рефреном звучащие строфы начала и конца монолога («Что ты часто ходишь на дорогу в старомодном ветхом шушуне» и «Не ходи так часто на дорогу в старомодном ветхом шушуне») придают ему логическую завершенность лирического послания и усиливают смысловые акценты.\n|ДА!Медиа|«Письмо от матери» - стихотворение русского поэта, представителя школ «новокрестьянской поэзии» и «русского имажинизма» Сергея Александровича Есенина (1895-1925). Написано и впервые опубликовано в 1924 году в газете «Заря Востока».\nСтихотворение «Письмо от матери» - одно из самых пронзительных лирических произведений Есенина последних лет жизни. Лирический герой поэта пытается успокоить, обнадежить старушку-мать и, вновь обращаясь к мотиву своей близкой смерти, обещает скорую встречу с ней. Несмотря на разочарование в жизни, «тоску мятежную» и «тягостную бредь» души, он помнит и любит женщину, подарившую ему жизнь. Стихотворение имеет кольцевую композицию: рефреном звучащие строфы начала и конца монолога («Что ты часто ходишь на дорогу в старомодном ветхом шушуне» и «Не ходи так часто на дорогу в старомодном ветхом шушуне») придают ему логическую завершенность лирического послания и усиливают смысловые акценты.\n||2015|../TableData/BooksPhoto/default_book_cover.png
